Year,Predicted_LPI
2024,29.355055
2025,28.394981
2026,27.430414
2027,26.407776
2028,25.366425
2029,24.334095
2030,23.288532
2031,22.23051
2032,21.159954
2033,20.076786
2034,18.994232
2035,17.909332
2036,16.812428
2037,15.703427
2038,14.751657
2039,13.759183
2040,12.650773
2041,11.530923
2042,10.399598
2043,9.25673
2044,8.10225
2045,6.9361043
2046,5.742245
2047,4.487969
2048,3.2209709
2049,1.9411628
2050,0.6484954
2051,0.0
2052,0.0
2053,0.0
2054,0.0
2055,0.0
2056,0.0
2057,0.0
2058,0.0
2059,0.0
2060,0.0
2061,0.0
2062,0.0
2063,0.0
2064,0.0
2065,0.0
2066,0.0
2067,0.0
2068,0.0
2069,0.0
2070,0.0
2071,0.0
2072,0.0
2073,0.0
2074,0.0
2075,0.0
2076,0.0
2077,0.0
2078,0.0
2079,0.0
2080,0.0
2081,0.0
2082,0.0
2083,0.0
2084,0.0
2085,0.0
2086,0.0
2087,0.0
2088,0.0
2089,0.0
2090,0.0
2091,0.0
2092,0.0
2093,0.0
2094,0.0
2095,0.0
2096,0.0
2097,0.0
2098,0.0
2099,0.0
2100,0.0
2101,0.0
2102,0.0
2103,0.0
2104,0.0
2105,0.0
2106,0.0
2107,0.0
2108,0.0
2109,0.0
2110,0.0
2111,0.0
2112,0.0
2113,0.0
2114,0.0
2115,0.0
2116,0.0
2117,0.0
2118,0.0
2119,0.0
2120,0.0
2121,0.0
2122,0.0
2123,0.0
2124,0.0
